"Export time: 8/6/2022, 7:23:19 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"","","278","AKOAK 20pcs Round Make Up Facial Face Soft Sponge Cosmetic Puff Women Lady Beauty Makeup Foundation Powder Puff (SKIN10 + WHITE10)","AKOAK","$6.42","50","1","$321","08/15/2018","$2.37","118","4.1","$4.05","139704","Beauty & Personal Care","B07B8DXJ76","https://www.amazon.com/dp/B07B8DXJ76"
"","","279","RUBIXIAN Powder Puff for Foundation 2 Packs Air Cushion Portable Round Makeup Sponges with Air Cushion Powder Puff Latex-free Blending Sponge and Makeup Puff for Foundation Cream Concealer","RUBIXIAN","$6.79","287","9","$1949","05/30/2021","$3.33","131","4.3","$3.46","50279","Beauty & Personal Care","B094Q4Z86V","https://www.amazon.com/dp/B094Q4Z86V"
"","","280","48 PCS Compressed Facial Sponges Cleansing Facial Sponges for Estheticians Round Face Cleaning Sponge Pads Natural Cosmetic Spa Face Cleansing Sponges Face Cleansing Massage Pore Exfoliating","Prudiut","$7.59","386","12","$2930","06/18/2021","$3.44","306","4.4","$4.15","61994","Beauty & Personal Care","B095BW3NV8","https://www.amazon.com/dp/B095BW3NV8"
"","","281","24 pcs Makeup Wedges Sponges Non Latex Pink Wedge Foundation Sponge Blender for Liquid Cream Multi Purpose Triangle Cosmetic Applicator Puff (Pink)","SDJINYU","$6.99","90","3","$629","04/22/2021","$2.89","33","4.5","$4.10","86595","Beauty & Personal Care","B08Y5DZXJ1","https://www.amazon.com/dp/B08Y5DZXJ1"
"","","282","Miss Lil USA Makeup Sponge Blender Multicolor Set - Non Latex Soft Professional Beauty Sponge Foundation Blending Blender with Egg Case Flawless for Cream Powder and Liquid (3PCS Blush Lilac)","Miss Lil USA","$4.99","...","...","...","12/26/2021","$1.05","58","4.5","$3.94","188406","...","B09MVDL8LL","https://www.amazon.com/dp/B09MVDL8LL"
"","","283","Gleem Cosmetics Beauty Sponge Blender - Latex Free and Vegan Makeup Sponge Blender - For PowderCream or Liquid Application - One Piece Make Up Sponge","Gleem","$3.74","20","0","$75","02/15/2021","$-0.1","13","4.1","$3.84","206479","Beauty & Personal Care","B08WK3P43Y","https://www.amazon.com/dp/B08WK3P43Y"
"","","284","TecUnite 100 Pieces Cosmetic Sponges Latex Makeup Foam Wedges Foundation Beauty Tools (5 Styles White and Skin)","TecUnite","$14.99","36","1","$540","12/24/2018","$8.97","133","4.2","$6.02","197935","Beauty & Personal Care","B07J9WMWDD","https://www.amazon.com/dp/B07J9WMWDD"
"","","285","100 Pieces Heart Shape Facial Sponges Compressed Natural Cellulose Sponge Reusable Cosmetic Makeup Remover Sponge Face Cleansing Natural Sponge for Face Cleansing Exfoliating (Pink)","Patelai","$20.99","273","9","$5730","06/22/2021","$14.3","56","4.6","$6.69","43020","Beauty & Personal Care","B095YVFBLW","https://www.amazon.com/dp/B095YVFBLW"
"","","286","10 Pcs Multi-colored Makeup Sponge Set Blender Beauty Foundation Sponge with 2pcs Beauty Sponge Holder Flawless for Liquid Cream and Powder Makeup Sponge (1PACK)","OWQ","$11.99","383","12","$4592","07/04/2021","...","11","4.3","","212910","Beauty & Personal Care","B0983993VC","https://www.amazon.com/dp/B0983993VC"
"","","287","Real Techniques Miracle Complexion Sponge Beauty Sponge For Makeup Blending & Foundation Application Full Coverage Streak-Free Professional Makeup Tool Cruelty Free Vegan Latex Free 8 Count","Real Techniques","$29.15","208","6","$6063","12/06/2017","$21.01","171","4.8","$8.14","133422","Beauty & Personal Care","B08147KCFY","https://www.amazon.com/dp/B08147KCFY"
"","","288","Sibba 8 PCS Triangle Powder Puff Pure Cotton Sponge Soft Makeup Puffs Reusable Face Powder Sponges Puff Cosmetic Foundation Sponge With Strap for Loose Pressed Body Powder Under Eye","Sibba","$3.99","...","...","...","07/02/2022","$0.13","0","","$3.86","205923","...","B09ZLJ67B2","https://www.amazon.com/dp/B09ZLJ67B2"
"","","289","10 Pcs Makeup Sponge Set Non-Latex Makeup Foundation Blending Beauty Sponges Cosmetic Applicator Puff Flawless for Liquid Powder Cream (10pcs wine red 4)","IMAGIC","$15.99","10","0","$160","10/01/2021","$10.05","5","5","$5.94","256331","Beauty & Personal Care","B09DSVG1F9","https://www.amazon.com/dp/B09DSVG1F9"
"","","290","The Creme Shop 3D XL Precision Silicone Blending Makeup Sponge  Red","The Crme Shop","$4.99","30","1","$150","09/26/2019","$1.05","19","3.6","$3.94","155470","Beauty & Personal Care","B07X9PSTXD","https://www.amazon.com/dp/B07X9PSTXD"
"","","291","Natural Facial Cleansing Sponges- 20 Count Compressed Facial Sponges Cellulose Reusable Soft Cosmetic Esponjas para Faciales for Professional Makeup Removal Facials Spa Exfoliator Skin Massage","TONGYE","$4.58","1718","57","$7868","11/13/2020","$1.29","519","4.5","$3.29","12607","Beauty & Personal Care","B08MXJS7HG","https://www.amazon.com/dp/B08MXJS7HG"
"","","292","Snowflakes Mini Makeup Sponges Blender 6 pcs Micro Beauty Sponge for Foundation Powder Concealer and Eye ShadowUnder EyesHighlight and ContourLatex Free.","SNOWFLAKES SNOWFLAKES","$9.89","74","2","$732","05/14/2019","$5.56","123","4.5","$4.33","171052","Beauty & Personal Care","B07MCBVHNL","https://www.amazon.com/dp/B07MCBVHNL"
