"Export time: 8/7/2022, 3:02:41 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"","","62","Matto Makeup Brush Set 2 Pieces Face Blush Kabuki Powder Foundation Makeup Brushes for Mineral BB Cream","Matto","$9.99","1104","36","$11029","02/11/2017","$6.27","3376","4.6","$3.72","15481","Beauty & Personal Care","B01JZAMNXM","https://www.amazon.com/dp/B01JZAMNXM"
"","","63","Makeup Tools Face Brushes Vegan Professional Makeup Brushes Set Synthetic Hair Makeup Brushes Kit Cruelty Free Cosmetic Brushes Set with Organizer Bag 20 pieces","MIGWA","$39.99","60","3","$2399","09/28/2021","$28.85","112","4.7","$11.14","92658","Beauty & Personal Care","B09CMYK4S7","https://www.amazon.com/Professional-Synthetic-Brushes-Cosmetic-Organizer/dp/B09CMYK4S7/ref=sr_1_67?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-67"
"","","64","Makeup Brushes MAANGE 18 Pcs Professional Makeup Brushes Set Premium Synthetic Foundation Face Powder Blush Eye Shadows Travel Make Up Brushes with gift box","MAANGE","$19.99","24","0","$480","09/22/2021","$13.45","106","4.5","$6.54","316068","Beauty & Personal Care","B099D92Z5Y","https://www.amazon.com/Brushes-MAANGE-Professional-Synthetic-Foundation/dp/B099D92Z5Y/ref=sr_1_68?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-68"
"","","65","Makeup Brushes 20 Pcs Makeup Brush Set MAANGE Premium Synthetic Powder Concealers Eye Shadows Eyeliner Make Up Brushes (Black)","MAANGE","$12.99","90","3","$1169","","","0","","","92587","Beauty & Personal Care","B0B5SZ1M3Z","https://www.amazon.com/Brushes-MAANGE-Synthetic-Concealers-Eyeliner/dp/B0B5SZ1M3Z/ref=sr_1_69?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-69"
"","","66","EcoTools Luxe Soft Highlighter Makeup Face Powder Brush Ecofriendly Makeup Brush Ultra Soft Bristles Pink Luxurious and Glamorous 1 Count","EcoTools","$8.99","184","15","$1654","01/07/2022","$4.73","122","4.1","$4.26","32590","Beauty & Personal Care","B09PC8QKXT","https://www.amazon.com/EcoTools-Highlighter-Ecofriendly-Luxurious-Glamorous/dp/B09PC8QKXT/ref=sr_1_70?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-70"
"","","67","Nir Beauty 15piece Award Winning Professional Makeup Brush Set: Vegan Makeup Brushes with Case Makeup Sponge Brush Cleaner Guide Gift Box","Nir","$49.99","1063","25","$53139","10/13/2020","$37.35","6835","4.7","$12.64","21039","Beauty & Personal Care","B01FQZNFYG","https://www.amazon.com/Nir%C3%A9-Beauty-15piece-Winning-Professional/dp/B01FQZNFYG/ref=sr_1_71?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-71"
"","","68","Ruesious 17PCS Makeup Brushes with Makeup Bag | Premium Synthetic Foundation Powder Concealers Blending Eye Shadows Face Makeup Brush Set","Ruesious","$6.99","988","50","$6906","06/12/2019","$2.66","3799","4.4","$4.33","11235","Beauty & Personal Care","B07M6CY5NT","https://www.amazon.com/Ruesious-Synthetic-Foundation-Concealers-Blending/dp/B07M6CY5NT/ref=sr_1_72?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-72"
"","","69","Makeup Brushes Set 15 Pcs Eigshow Professional Make Up Brushes Premium Makeup Brushes For Foundation Powder Blush Blending Concealer Full Face Eye Vegan Makeup Brushes With Organizer Bag and Gift Box","EIGSHOW","$36.99","60","1","$2219","05/16/2021","$26.92","92","4.4","$10.07","155572","Beauty & Personal Care","B0915VR25B","https://www.amazon.com/EIGSHOW-Synthetic-Foundation-Concealers-Eyeshadow/dp/B0915VR25B/ref=sr_1_73?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-73"
"","","70","Docolor Makeup Brushes 15 Pcs Colourful Makeup Brush Set Premium Gift Synthetic Kabuki Foundation Blending Face Powder Blush Concealers Eyeshadow Rainbow Make Up Brush Set - Dream of Color","Docolor","$19.99","1345","69","$26887","07/28/2020","$13.45","2458","4.7","$6.54","8154","Beauty & Personal Care","B089GDS9WM","https://www.amazon.com/Docolor-Colourful-Christmas-Synthetic-Foundation/dp/B089GDS9WM/ref=sr_1_74?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-74"
"","","71","Professional Grade Labeled Kabuki Makeup Brush Set -10PCs","EssencellHB","$14.97","36","2","$539","06/13/2016","$8.95","555","4.5","$6.02","124619","Beauty & Personal Care","B07D9TXKKF","https://www.amazon.com/Professional-Labeled-Kabuki-Makeup-10PCs/dp/B07D9TXKKF/ref=sr_1_75?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-75"
"","","72","Makeup Brushes Set 11 Pcs Eigshow Premium Vegan Makeup Brushes Synthetic Foundation Powder Contour Blush Concealer Full Face Eye Brush Bamboo Cosmetics Brushes Sets with Bag and Gift Box - Ice Blue","EIGSHOW","$29.99","60","1","$1799","08/27/2021","$21.72","78","4.8","$8.27","140050","Beauty & Personal Care","B09B1RPXMG","https://www.amazon.com/Brushes-Synthetic-Foundation-Concealer-Cosmetics/dp/B09B1RPXMG/ref=sr_1_76?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-76"
"","","73","SHANY Bamboo Makeup Brush Set - Vegan Brushes With Premium Synthetic Hair & Cotton Pouch - 7pc","SHANY","$19.75","80","7","$1580","11/19/2012","$13.02","742","4.5","$6.73","56528","Beauty & Personal Care","B005IHSO2Q","https://www.amazon.com/dp/B005IHSO2Q"
"","","74","Docolor Makeup Brushes 10 Pcs Premium Synthetic Kabuki Foundation Brush Blending Face Powder Blush Concealers Eye Shadows Makeup Brush Set Neon Green","Docolor","$16.99","1034","16","$17568","05/16/2019","$10.67","4773","4.7","$6.32","30521","Beauty & Personal Care","B07R8PZC71","https://www.amazon.com/Docolor-Synthetic-Foundation-Blending-Eyeshadow/dp/B07R8PZC71/ref=sr_1_82?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-82"
"","","75","Docolor Makeup Brushes 17 Pcs Colourful Makeup Brush Set Premium Gift Synthetic Kabuki Foundation Blending Face Powder Blush Concealers Eyeshadow Rainbow Make Up Brush Set - Dream of Color","Docolor","$29.99","2489","61","$74645","06/07/2018","$21.95","5977","4.7","$8.04","9204","Beauty & Personal Care","B0957J54NY","https://www.amazon.com/Docolor-Colourful-Synthetic-Foundation-Concealers/dp/B0957J54NY/ref=sr_1_83?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-83"
"","","76","27Pcs Make Up Brush Set NEVSETPO Quality Makeup Brushes with Beauty Blender Brush Cleaner for Kabuki Foundation Powder Contour Blending Blush Travel PU Bag Included Solid Wood Cruelty-Free Bristle (24+3Pcs Champagne)","NEVSETPO","$21.74","296","7","$6435","02/11/2019","$13.34","3446","4.4","$8.40","52671","Beauty & Personal Care","B081JP5HM2","https://www.amazon.com/NEVSETPO-Professional-Foundation-Organizer-Cruelty-Free/dp/B081JP5HM2/ref=sr_1_84?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-84"
