,product_name,brand,price,monthly_sales,daily_sales,monthly_revenue,date_first_available,net,rating_number,rating,fees,product_rank,category,asin,link
1395,AMMIY Makeup Brushes 18 PCs Makeup Brush Set Professional Wood Handle Premium Synthetic Contour Concealers Foundation Blending Face Powder Eye shadow Cosmetic Brushes with PU Leather Bag (Champagne),AMMIY,11.99,383.0,11.0,4592.0,10/20/2016,5.67,2649,4.4,6.32,40126.0,Beauty & Personal Care,B01I50F9PM,https://www.amazon.com/Ammiy-Professional-Synthetic-Foundation-Delivered/dp/B01I50F9PM/ref=sr_1_115?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-115
1396,Professional Retractable Kabuki Makeup Brush Set Makeup Brushes Kit Flat Top Face Blush Liquid Powder Foundation Brush for Blending LiquidPortable Powder Brush with Cover for BlushBuffingFlawless Powder Cosmetics Tool Gifts for Women,BSJ ASNI,9.99,0.0,0.0,0.0,02/16/2021,5.65,22,3.9,4.34,274018.0,Beauty & Personal Care,B08QG2Q3WG,https://www.amazon.com/Professional-Retractable-Foundation-Blending-Cosmetics/dp/B08QG2Q3WG/ref=sr_1_116?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-116
1397,Makeup Brush Set Glitter Acrylic Handle Make Up Brushes for Powder Blush and Eyeshadow makeup brushes set for Women&Girl (Heart),GOHIGH,8.99,60.0,2.0,539.0,01/09/2022,5.35,5,3.9,3.64,109227.0,Beauty & Personal Care,B09MMYQ22H,https://www.amazon.com/Glitter-Acrylic-Brushes-Eyeshadow-brushes/dp/B09MMYQ22H/ref=sr_1_117?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-117
1398,Swithun Makeup Brushes Set 6pcs Professional Brush Sets for Eye Shadow Eyebrow Face Foundation Nose Contour Blending Blush Concealer with Portable Bag Premium Make Up Tools Kit for Powder and Liquid Cosmetics (Champagne),Swithun,18.99,33.0,1.0,627.0,11/16/2021,12.6,29,4.2,6.39,235522.0,Beauty & Personal Care,B09H6KTCG1,https://www.amazon.com/dp/B09H6KTCG1
1399,Real Techniques Artist Essential Makeup Brush Set Includes Eye Liner Brush and Foundation Brush Set of 5,Real Techniques,16.93,694.0,14.0,11749.0,10/07/2019,10.85,2278,4.7,6.08,33495.0,Beauty & Personal Care,B07V3N78F7,https://www.amazon.com/Real-Techniques-1895M-TECHNIQUES-Essentials/dp/B07V3N78F7/ref=sr_1_119?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-119
1400,BS-MALL Makeup Brush Set 16pcs Makeup Brushes Premium Synthetic Bristles Powder Foundation Blush Contour Concealers Lip Eyeshadow Brushes Kit,BS-MALL,11.89,135.0,7.0,1605.0,11/24/2019,7.04,1565,4.6,4.85,56704.0,Beauty & Personal Care,B07XHJSTR9,https://www.amazon.com/BS-MALL-Synthetic-Foundation-Concealers-Eyeshadow/dp/B07XHJSTR9/ref=sr_1_120?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-120
1401,Cosmetic Brushes Kit Tool Makeup Brushes Set 10PCS Soft Fine Bristles Natural Premium Eco Tools Face Powder Blush Foundation Eye Shadow Eyebrow Lip Angled Nose Shadow Highlights Concealer Gift Multicolor Mermaid Handle,YWBIBU,9.9,0.0,0.0,0.0,07/14/2021,5.57,5,5.0,4.33,613160.0,Beauty & Personal Care,B096Q9KGFC,https://www.amazon.com/Cosmetic-Foundation-Highlights-Concealer-Multicolor/dp/B096Q9KGFC/ref=sr_1_121?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-121
1402,Mebsino 8PCS Makeup BrushesProfessional Premium Synthetic Foundation Brushes with Cute Cosmetic BagMini Portable Makeup Brush Set for Foundation Blending Face Powder Blush Concealers,mebsino,9.59,30.0,1.0,288.0,10/09/2021,5.28,50,4.3,4.31,193643.0,Beauty & Personal Care,B09HGBTH5G,https://www.amazon.com/Professional-Synthetic-Foundation-Cosmetic-Concealers/dp/B09HGBTH5G/ref=sr_1_122?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-122
1403,Makeup Brushes Set DUAIU 15Pcs Makeup Brush Premium Synthetic Kabuki Powder Blush Contour Foundation Concealer Eyeshadow Brushes Snowflake Heart Luck Land,DUAIU,9.99,60.0,0.0,599.0,08/11/2020,5.42,99,4.4,4.57,315964.0,Beauty & Personal Care,B09MMTP2S2,https://www.amazon.com/DUAIU-Synthetic-Foundation-Concealer-Eyeshadow/dp/B09MMTP2S2/ref=sr_1_123?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-123
1404,Anmor Contour and Highlighter Brush Set Premium 2PCs Blush Bronzer Face Makeup Brush Kit Perfect for Cheek Nose Blending Contouring,anmor,6.49,1860.0,52.0,12071.0,10/05/2021,2.43,646,4.5,4.06,10791.0,Beauty & Personal Care,B09F9LRN34,https://www.amazon.com/Contour-Highlighter-Premium-Blending-Contouring/dp/B09F9LRN34/ref=sr_1_124?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-124
