"Export time: 8/6/2022, 12:04:18 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"","","146","CAFINY 6 Pcs Makeup Sponge Set Multi-colored Beauty Blender Latex Free beauty blender sponge Flawless for Liquid Cream concealerand Powder","CAFINY","$9.99","99","3","$989","01/24/2022","$5.65","44","4.6","$4.34","118665","Beauty & Personal Care","B09MP9LRRX","https://www.amazon.com/dp/B09MP9LRRX"
"","","147","makeup puff beauty blender foundation mini sponge powder puffs triangle for face and blenders cream dry and wet applicator cushion puff 4 pieces","N\A","$14.98","...","...","...","06/27/2022","$9.19","0","","$5.79","119746","...","B09YH9BJJL","https://www.amazon.com/dp/B09YH9BJJL"
"","","148","2Pcs Makeup Sponge Mushroom Facial Foundation Sponges Makeup Blending Sponge Powder Puff Makeup Tools with Handle Case for Liquid Foundation Creams and Powders","Generic","$5.89","49","1","$289","12/27/2021","$2.5","28","4","$3.39","93100","Beauty & Personal Care","B09HXL5HR3","https://www.amazon.com/dp/B09HXL5HR3"
"","","149","Makeup Sponge Blender Holder Travel Carrying Case Sponge Drying Rack Stand Holder Egg Powder Puff Drying Shelf Cute(NO SPONGE INCLUDED)","Bird&Fish","$5.99","128","4","$767","06/25/2019","$1.97","406","4.5","$4.02","71906","Beauty & Personal Care","B07S5DSL85","https://www.amazon.com/dp/B07S5DSL85"
"","","150","RUBIXIAN Finger Puff 4 Pcs Mini Makeup Puff Super Soft Beauty Makeup Tools Latex-free Blending Sponge Suitable For Foundation Concealer Repair Cream Eye Shadow (4 Color 1 Set)","RUBIXIAN","$6.99","581","19","$4061","08/19/2021","$3.51","168","4","$3.48","34164","Beauty & Personal Care","B099WR8RRB","https://www.amazon.com/dp/B099WR8RRB"
"","","151","jane iredale Flocked Sponge Makeup Blender","jane iredale","$8.00","93","3","$744","03/30/2014","$4.44","1308","4.4","$3.56","22311","Beauty & Personal Care","B000GHVTYI","https://www.amazon.com/dp/B000GHVTYI"
"","","152","Marshmallow Makeup Sponge - Super Soft Dry and Wet Beauty Blender - Pink Mochi Blending Sponges with Crystal Box - Makeup Sponges for Foundation Powder and BB Cream - One-Piece Beauty Sponge","Generic","$13.99","...","...","...","01/17/2022","$8.35","19","4.3","$5.64","190429","...","B09Q2G9Y5M","https://www.amazon.com/dp/B09Q2G9Y5M"
"","","153","10 Pcs Multi-colored Makeup Sponge Set Blender Beauty Foundation Sponge with 2pcs Beauty Sponge Holder Flawless for Liquid Cream and Powder Makeup Sponge (1PACK)","OWQ","$11.99","398","13","$4772","07/04/2021","...","11","4.3","","210794","Beauty & Personal Care","B0983993VC","https://www.amazon.com/dp/B0983993VC"
"","","154","Makeup Sponges Foundation Blending Beauty Sponge Set Flawless for Liquid Cream and Powder Latex Free Cruelty Free Sponge Blender-3 Pcs","Mclovefy","$9.99","...","...","...","07/17/2022","$5.65","1","5","$4.34","250558","...","B0B3NDBFJV","https://www.amazon.com/dp/B0B3NDBFJV"
"","","155","LINFIDITE Makeup Sponge Holder Beauty Cosmetic Egg Sponge Organizer Case with Clear Lid Dust free Blender Holder for Girls Women in Handbags Travel Luggage Pink Durable WashablePink","LINFIDITE","$8.99","57","1","$512","05/30/2021","$4.73","36","4.4","$4.26","129278","Beauty & Personal Care","B091YTW8VJ","https://www.amazon.com/dp/B091YTW8VJ"
"","","156","BETISTME Makeup Sponge Blender for Blending Foundations Face Sponge Cosmetics Sponge Pink Purple Gift Package 16 sponges & 2 holders","BETISTME","$9.99","...","...","...","07/11/2021","$5.42","34","4.6","$4.57","98788","...","B09T71NKZ8","https://www.amazon.com/dp/B09T71NKZ8"
"","","157","Makeup Sponge Holder Beauty Sponge Holder Cosmetic Sponge Case Beauty Egg Holder Beauty Blender Holder Makeup Blender Travel Case Beauty Egg Powder Puff Drying Stand & Travel Case (Pink)","WAWTOOK","$5.19","...","...","...","04/12/2022","$1.23","17","4.8","$3.96","89278","...","B09PV144T9","https://www.amazon.com/dp/B09PV144T9"
"","","158","Wet n Wild Little Twin Stars Team Makeup Sponge Set Blender 2 Count","wet n wild","$7.82","225","7","$1760","11/04/2021","...","81","4.5","","47524","Beauty & Personal Care","B09K3PCDW9","https://www.amazon.com/dp/B09K3PCDW9"
"","","159","Lemonadeus Beauty Blender Holder Makeup Sponge Holder Crown Glassware Stand Storage Powder Puff Display Stand2 Pack (1 gold and 1 clear)","lemonadeus","$8.99","38","1","$342","05/29/2019","$4.5","200","4.6","$4.49","143019","Beauty & Personal Care","B07RBV38FJ","https://www.amazon.com/dp/B07RBV38FJ"
"","","160","2 Pack Silicone Makeup Sponge [Washable] Premium Quality - Gel Foundation Makeup and Puff BB - Best Silisponge Cosmetic Beauty Tools Blender [Clear]","Nylea","$5.99","388","12","$2324","02/20/2017","$2.59","3389","3.8","$3.40","47842","Beauty & Personal Care","B01N4P37JT","https://www.amazon.com/dp/B01N4P37JT"
"","","161","I9 Essentials Dry & wet use Beauty Blender Makeup Sponges for Liquid Blush and Cream Foundation Face Sponge Mini Makeup Tool Beauty Sponge for Flawless aesthetic makeup Count of 4","I9 Essentials","$7.99","...","...","...","...","...","0","","","93601","...","B0B5V7SLBC","https://www.amazon.com/dp/B0B5V7SLBC"
"","","162","100 Pieces Cosmetic Sponges Latex Makeup Foam Wedges Foundation Beauty Tools (White)","TecUnite","$16.99","567","18","$9633","08/10/2019","$10.67","604","4.6","$6.32","27284","Beauty & Personal Care","B07PMK7ZF8","https://www.amazon.com/dp/B07PMK7ZF8"
"","","163","Ozazuco Beauty Sponge Blender Container/2 Beauty Sponge Travel Case and 2 Makeup Sponge Drying Holder/Cute Cat Silicone Makeup Sponge Travel Carrying Case/Beauty Sponge Holder Dry Rack Easy To Carry","ozazuco","$7.98","564","18","$4501","08/18/2019","$3.57","1337","4.7","$4.41","34296","Beauty & Personal Care","B07VK7X16Y","https://www.amazon.com/dp/B07VK7X16Y"
"","","164","7 Pack Makeup Sponge Blender Set 6 Pcs Foundation Blending Beauty Sponge with 1 Sponge Holder Flawless for Liquid Cream and Powder Multi-colored Makeup Sponges","Cehomi","$6.99","...","...","...","06/13/2022","$2.89","5","4.5","$4.10","264566","...","B09W2M7YXY","https://www.amazon.com/dp/B09W2M7YXY"
"","","165","Makeup Sponge Set Makeup Sponge Foundation Blending Beauty Sponge Wet and Dry Beauty Blending Sponge for Liquid Foundation Powder and Cream to Reduce Makeup Waste (Green Set of 4)","RAREIUS","$6.99","...","...","...","04/25/2022","$2.89","16","4.6","$4.10","88699","...","B09W5CTYSC","https://www.amazon.com/dp/B09W5CTYSC"
"","","166","BTYMS 10 Pieces Makeup Sponge Blenders Beauty Sponges Egg Shaped Blending Sponge Foundation Applicator Cosmetic Sponges","BTYMS","$7.99","461","15","$3683","08/15/2019","$3.81","3321","4.6","$4.18","40294","Beauty & Personal Care","B07RWGLBHD","https://www.amazon.com/dp/B07RWGLBHD"
"","","167","Makeup Sponge Set pack of 20real techniques sponge Makeup Blender Flawless","XX-UV","$9.66","42","1","$406","12/06/2020","$5.12","58","4.8","$4.54","142605","Beauty & Personal Care","B08HQZK3LY","https://www.amazon.com/dp/B08HQZK3LY"
"","","168","EcoTools Travel Perfecting Sponge Makeup Blender with Case Beauty Sponge Protects Makeup Sponge Cruelty Free Vegan Latex Free and Made With Recycled Materials 2 Piece Set","EcoTools","$5.49","109","3","$598","11/02/2018","$2.13","257","4.4","$3.36","73394","Beauty & Personal Care","B07FTCT5VV","https://www.amazon.com/dp/B07FTCT5VV"
"","","169","Real Techniques Miracle Powder Sponge For Setting Powder Matte and Sheer Long Lasting Makeup Coverage 1 Count","Real Techniques","$5.47","381","12","$2084","10/16/2019","$1.49","1376","4.4","$3.98","37464","Beauty & Personal Care","B07V2J6YKM","https://www.amazon.com/dp/B07V2J6YKM"
"","","170","DADIWEY Mushroom Makeup Sponge Cosmetic Blender Puff Latex Free Face Sponge Beauty Puff Makeup Brush Sponge with Handle Case for Concealer BB Cream Foundation Makeup Tools (3 Pack Skin Color)","DADIWEY","$6.99","65","2","$454","06/12/2020","$3.51","124","4","$3.48","68550","Beauty & Personal Care","B0883BKNKH","https://www.amazon.com/dp/B0883BKNKH"
"","","171","Microfiber Velvet Makeup Sponge Latex-Free Dual Layer Technology Flawless Makeup Blender for Foundations Powders and Creams Tear Drop Cosmetic Tool (1PcsBlue)","AHPIPIL","$4.99","330","11","$1647","05/12/2020","$1.05","1304","4","$3.94","36104","Beauty & Personal Care","B0834C79MN","https://www.amazon.com/dp/B0834C79MN"
"","","172","3 Pieces Makeup Sponge Holder Beauty Sponge Silicone Carrying Case Sponge Makeup Egg Storage Box Powder Puff Protective Container for Makeup Sponge 3 Colors","Maitys","$16.99","131","4","$2226","12/25/2020","$10.9","116","4.6","$6.09","97017","Beauty & Personal Care","B08PVM5K71","https://www.amazon.com/dp/B08PVM5K71"
