"Export time: 8/6/2022, 12:17:36 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"","","57","Top Loading 2.4 Mil Clear Sheet Protectors 200 Count.","STAPLES","$15.02","44","1","$661","11/20/2012","$6.34","556","4.8","$8.68","17743","Office Products","B00AB28IRO","https://www.amazon.com/dp/B00AB28IRO"
"","","58","VST Heavyweight Sheet Protectors 8.5 x 11 Inches 3 Mil Crystal Clear Page Protectors for 3 Ring Binder Plastic Sleeves for Binders Top Loading Paper Protector Letter Size100 Sheets","VST","$10.79","120","4","$1295","08/30/2021","$3.38","16","4.6","$7.41","45459","Office Products","B09CYK4NRL","https://www.amazon.com/dp/B09CYK4NRL"
"","","59","Avery Super Heavyweight Diamond Clear Sheet Protectors 8.5' x 11' Acid-Free Easy Load 50ct (74130)","AVERY","$18.49","225","7","$4160","04/17/2006","$10.58","484","4.7","$7.91","21723","Office Products","B0006HVE34","https://www.amazon.com/dp/B0006HVE34"
"","","60","100 Count Diamond Clear Extra Heavyweight Sheet Protectors 4 mils Strong by Gold Seal 8.5 x 11' Top Load 100 Pack","GOLD SEAL","$13.49","570","19","$7689","03/08/2020","$5.68","594","4.8","$7.81","12071","Office Products","B085PNKDY4","https://www.amazon.com/dp/B085PNKDY4"
"","","61","Samsill Plastic Sheet Protectors for 3 Ring Binder Non-Glare Standard Weight Top Load Inserts Box of 200 Sheets 8.5 x 11 Reinforced 3 Hole Punch.","Samsill","$13.87","623","20","$8641","02/01/2020","$6","3016","4.5","$7.87","9878","Office Products","B084FKSG1Z","https://www.amazon.com/dp/B084FKSG1Z"
"","","62","SUNEE 30 Packs Oversized Reusable Dry Erase Pocket Sleeves with 2 Rings 10 Assorted Colors 10x14 Ticket Holders Clear Plastic Sheet Protectors Teacher School Classroom Supplies","SUNEE","$26.99","4319","143","$116570","07/15/2018","$16.81","1320","4.8","$10.18","1268","Office Products","B07FM4PRY8","https://www.amazon.com/dp/B07FM4PRY8"
"","","63","Seashell 100 Economy Non-Glare Sheet Protectors Plastic Page Protectors for 3 Ring Binder Letter Size Top Loading 3 Hole Punched Binder Sleeves for 8.5 x 11 Paper for School and Office use","Seashell","$9.88","565","18","$5582","03/16/2021","$4.81","171","4.4","$5.07","31057","Office Products","B08Z75NV92","https://www.amazon.com/dp/B08Z75NV92"
"","","64","Avery Self-Adhesive Wall and Door Communication Display Protectors 10 Clear Sleeves (74404)","AVERY","$8.79","439","14","$3859","11/15/2006","$4.55","282","4.6","$4.24","14813","Office Products","B00006IC83","https://www.amazon.com/dp/B00006IC83"
"","","65","Avery Economy Clear Sheet Protectors 8.5' x 11' Acid-Free Archival Safe 100 page protectors (75091)","AVERY","$13.54","1009","33","$13662","10/16/2017","$6.37","4384","4.7","$7.17","8974","Office Products","B00006IC89","https://www.amazon.com/dp/B00006IC89"
"","","66","Avery Diamond Clear Quick Load Sheet Protectors Top & Side Load 50 Document Protectors (73802)","AVERY","$15.23","120","4","$1828","04/17/2006","$7.81","134","4.7","$7.42","32008","Office Products","B00006IC7J","https://www.amazon.com/dp/B00006IC7J"
"","","67","100/Box Legal Size Clear Heavyweight Poly Sheet Protectors by Gold Seal 8.5' x 14' 100-Count","GOLD SEAL","$17.99","217","7","$3904","02/13/2019","$9.5","629","4.8","$8.49","29088","Office Products","B07NQVJ4TN","https://www.amazon.com/dp/B07NQVJ4TN"
"","","68","100 Sheet Protectors11 Hole A4 Clear Loose Leaf File Sheet Protectors(3C)","LIUSM","$5.50","56","1","$308","09/08/2020","$1.76","35","3.3","$3.75","159966","Office Products","B08HQ2HBMR","https://www.amazon.com/dp/B08HQ2HBMR"
"","","69","EnvyPak Sheet Protectors - Pastel Color-Coded Edges 8.5 X 11-3 Hole Punched - Pack of 100 (Assorted)","EnvyPak","$20.99","95","3","$1994","04/12/2018","...","242","4.8","","56909","Office Products","B07CG2ZD6P","https://www.amazon.com/dp/B07CG2ZD6P"
"","","70","Oxford Lightweight Sheet Protectors Clear Finish Top Load Letter Size Plastic Sleeves Reinforced 3 Hole Punch for Binders 100 per Box (33267) Letter","Oxford","$10.28","553","18","$5685","01/14/2021","$3.6","438","4.7","$6.68","10448","Office Products","B08T6RLPH2","https://www.amazon.com/dp/B08T6RLPH2"
